0;"The Fool ";" New beginnings, optimism, trust in life"
1;"The Magician ";"Action, the power to manifest"
2;"The High Priestess ";" Inaction, going within, the subconscious"
3;The Empress;" Abundance, nurturing, fertility, life in bloom!"
4;"The Emperor ";"Structure, stability, rules and power"
5;"The Hierophant ";"Institutions, tradition, society and its rules"
6;"The Lovers ";" Sexuality, passion, choice, uniting"
7;"The Chariot ";"Movement, progress, integration"
8;"Strength ";"Courage, subtle power, integration of animal self"
9;The Hermit;" Meditation, solitude, consciousness"
10;Wheel of Fortune;" Cycles, change, ups and downs"
11;Justice;" Fairness, equality, balance"
12;" The Hanged Man ";"Surrender, new perspective, enlightenment"
13;" Death ";" The end of something, change, the impermeability of all things"
14;" Temperance ";" Balance, moderation, being sensible"
15;" The Devil ";" Destructive patterns, addiction, giving away your power"
16;"The Tower ";"Collapse of stable structures, release, sudden insight"
17;"The Star ";" Hope, calm, a good omen!"
18;The Moon;" Mystery, the subconscious, dreams"
19;"The Sun ";" Success, happiness, all will be well"
20;Judgment;" Rebirth, a new phase, inner calling"
21;The World;" Completion, wholeness, attainment, celebration of life"
22;Ace of Swords;"A fresh start, a sudden opportunity or idea, clarity"
23;2 of Swords;"Indecision"
24;3 of Swords;"Heartbreak, Betrayal"
25;4 of Swords;"Meditation, Rest, retreat"
26;5 of Swords;"Mind Games, Hostility"
27;6 of Swords;"Leaving, Accepting help, Going somewhere better"
28;7 of Swords;"Secret plans, Abandoning ship"
29;8 of Swords;"Feeling powerless and stuck"
30;9 of Swords;"Overactive mind, anxiety"
31;10 of Swords;"Feeling defeated, Self Sabotage"
32;Page of Swords;"mentally unstable or intellectually immature, acts without thinking"
33;Knight of Swords;"Fierce, determined, aggressively pursues goals"
34;Queen of Swords;"Intelligent, writer, communicative yet cold – cuts through B.S."
35;King of Swords;"Serious, controlling, rational and mind/intellect-focused"
36;Ace of Cups;"emotional fulfillment, joy"
37;2 of Cups;"partnership, mutual attraction, compatibility"
38;3 of Cups;"celebration, fun with friends, laughter"
39;4 of Cups;"boredom, dissatisfaction with what is being offered"
40;5 of Cups;"dwelling on the negative, self pity"
41;6 of Cups;"sentimentality, kindness, help"
42;7 of Cups;"so many choices! Indecision, getting lost in fantasy"
43;8 of Cups;"abandoning something in search of something better"
44;9 of Cups;"indulgence, self-satisfaction"
45;10 of Cups;"emotional bliss, happiness, attainment"
46;Page of Cups;"Creative, inspired, learning artistic skill"
47;Knight of Cups;"Romantic, adventurous, following one’s heart"
48;Queen of Cups;"Emotionally nurturing, intuitive, sensitive"
49;King of Cups;"Repression of deep feelings, possible alcoholism"
50;Ace of Wands;"New beginnings, creative spark, fertile ideas"
51;2 of Wands;"Contemplation, assessing ones life direction"
52;3 of Wands;"Reaping the rewards of your efforts"
53;4 of Wands;"Celebration, safety, the home"
54;5 of Wands;"Competition, minor struggles or disagreements"
55;6 of Wands;"Success, accolades and achievement"
56;7 of Wands;"Feeling defensive and on guard"
57;8 of Wands;"Speed, things manifesting quickly"
58;9 of Wands;"Pessimism, gearing up for the worst"
59;10 of Wands;"Feeling oppressed, exhaustion, too many responsibilities"
60;Page of Wands;"newly inspired, excited about life and work"
61;Knight of Wands;"An adventurous risk taker who follows his passions"
62;Queen of Wands;"Confidant, focused, has zest for life"
63;King of Wands;"Career focused, mature, passionate"
64;Ace of Pentacles;"Financial reward, clarity of life purpose, goals"
65;2 of Pentacles;"Balance, multitasking"
66;3 of Pentacles;"Meaningful work, enjoying one’s work, suitable career"
67;4 of Pentacles;"Hoarding, feeling poor, holding self back out of fear"
68;5 of Pentacles;"Minor money troubles, health problems, feeling like an outsider"
69;6 of Pentacles;"Charity, accepting and giving help"
70;7 of Pentacles;"Patience, waiting for your plans to bear fruit"
71;8 of Pentacles;"Hard work, focused efforts, laying the groundwork"
72;9 of Pentacles;"Luxury, rest, financial and material comforts"
73;10 of Pentacles;"Financial success, strong business relationships"
74;Page of Pentacles;"Student, commitment to learning"
75;Knight of Pentacles;"Cautious, sensible and slow to progress"
76;Queen of Pentacles;"Healthy in body and finances, grounded and calm"
77;King of Pentacles;"Enjoys the good life (food, drink and leisure), financially secure"